90-6049732,Andrew,Masterov,wheel@mail.ru,Russian,$785.90,Company_1
40-2121222,Nick,Raccon,hlppls@gmail.com,English,$1200.45,Company_4
41-1212134,Hanson,Abadir,soulseater@gmail.com,English,$6900.99,Company_3
45-3222134,Saimon,Petrikov,iceking@gmail.com,English,$1000.50,Company_2
11-2229820,Klara,Ivanovna,klarOchka@mail.ru,Russian,$789.33,Company_1
33-4429381,Jermein,Dogg,abstract@google.com,English,$1609.84,Company_2
42-1214599,Jake,Dogg,magic@gmail.com,English,$800.99,Company_3
34-2211983,Martin,Mertens,runner1@google.com,English,$2900.43,Company_1
11-2342229,Minerva,Mertens,helper@gmail.com,English,$2800.78,Company_4
03-1294326,Kazuki,Uzumaki,slave13@gmail.com,Japanese,$2300.45,Company_3
12-3332992,Azuka,Kirishima,kkkkk0@google.com,Japanese,$1190.78,Company_1
90-1229300,Nikita,Marchenko,nikmarch@mail.ru,Russian,$980.11,Company_2
18-3326948,Egor,Vlasiev,vaganych@gmail.com,Russian,$1500.33,Company_1
44-2218492,Finn,Hertens,hero17@gmail.com,English,$2890.81,Company_3
67-3321184,Kirito,Haruhi,eejeez@gmail.com,Japanese,$1500.43,Company_2
44-1128473,Asano,Inio,punpun@google.com,Japanese,$4100.78,Company_2
21-4555491,Haruka,Midori,skattsu8@gmail.com,Japanese,$2100.98,Company_3
83-1234839,Vladimir,Putin,masster@mail.ru,Russian,$9999.99,Company_1
13-4439810,Azamat,Ramazanov,leatherman@mail.ru,Russian,$7999.99,Company_4
92-2192478,Kirishima,Koike,lastone@gmail.com,Japanese,$2700.03,Company_4
19-2210029,Miku,Hatsune,vokkk9@gmail.com,Japanese,$1450.77,Company_1
34-2200111,Vladimir,Lenin,comm1@gmail.com,Russian,$2100.90,Company_3
02-3489910,Ilya,Sadomazo,nolik@gmail.com,Russian,$1400.87,Company_1
91-2392003,Olga,Boufos,leneri@mail.ru,Russian,$4700.71,Company_4
15-4003291,Saske,Uchiha,konohax@gmail.com,Japanese,$1080.45,Company_2
